active_regime,hour_of_day,risk_flags,rule_best_candidate_id,rule_best_score,rule_best_template_name,selected_candidate_id,selected_minus_competitor,selected_score,selected_source_prior,selected_template_name,status,step,total_margin
NORMAL_BALANCED,2.5,"{""any_risk"": false, ""dew_risk"": false, ""dry_or_high_vpd_risk"": false, ""dry_risk"": false, ""high_vpd"": false, ""humidity_or_dew_risk"": false, ""rh_ge_90"": false}",rule_prior:hold_all:5,0.8817392687797547,hold_all,previous_plan_prior:previous_shift_all:2,"{""base_final_score"": 0.11202166151255366, ""final_score"": 0.12402166151255356, ""prior_confidence_bonus"": 0.011999999999999997, ""projected_energy_proxy"": 0.6634777434170246, ""projected_low_reversal"": 0.0, ""projected_smoothness"": -0.0459419714907805, ""raw_energy_proxy"": 0.6634777434170246, ""raw_low_reversal"": 0.0, ""raw_smoothness"": -0.0459419714907805, ""rewrite_penalty"": 0.0, ""risk_static_hold_penalty"": 0.0, ""uncertainty_penalty"": 0.0}",1.0057609302923083,previous_plan_prior,previous_shift_all,lower_score,490,0.12402166151255356
NORMAL_BALANCED,4.5,"{""any_risk"": false, ""dew_risk"": false, ""dry_or_high_vpd_risk"": false, ""dry_risk"": false, ""high_vpd"": false, ""humidity_or_dew_risk"": false, ""rh_ge_90"": false}",rule_prior:hold_all:5,0.8918141345977784,hold_all,previous_plan_prior:previous_shift_all:2,"{""base_final_score"": 0.10447954948991534, ""final_score"": 0.11647954948991535, ""prior_confidence_bonus"": 0.011999999999999997, ""projected_energy_proxy"": 0.6256969965994358, ""projected_low_reversal"": 0.0, ""projected_smoothness"": -0.04591077739993732, ""raw_energy_proxy"": 0.6256969965994358, ""raw_low_reversal"": 0.0, ""raw_smoothness"": -0.04591077739993732, ""rewrite_penalty"": 0.0, ""risk_static_hold_penalty"": 0.0, ""uncertainty_penalty"": 0.0}",1.0082936840876937,previous_plan_prior,previous_shift_all,lower_score,498,0.11647954948991535
NORMAL_BALANCED,0.25,"{""any_risk"": false, ""dew_risk"": false, ""dry_or_high_vpd_risk"": false, ""dry_risk"": false, ""high_vpd"": false, ""humidity_or_dew_risk"": false, ""rh_ge_90"": false}",rule_prior:hold_all:5,0.8997507076263429,hold_all,previous_plan_prior:previous_shift_all:2,"{""base_final_score"": 0.1000152271613477, ""final_score"": 0.11201522716134771, ""prior_confidence_bonus"": 0.011999999999999997, ""projected_energy_proxy"": 0.5959348477423191, ""projected_low_reversal"": 0.0, ""projected_smoothness"": -0.042603871971368834, ""raw_energy_proxy"": 0.5959348477423191, ""raw_low_reversal"": 0.0, ""raw_smoothness"": -0.042603871971368834, ""rewrite_penalty"": 0.0, ""risk_static_hold_penalty"": 0.0, ""uncertainty_penalty"": 0.0}",1.0117659347876906,previous_plan_prior,previous_shift_all,lower_score,481,0.11201522716134771
NORMAL_BALANCED,2.25,"{""any_risk"": false, ""dew_risk"": false, ""dry_or_high_vpd_risk"": false, ""dry_risk"": false, ""high_vpd"": false, ""humidity_or_dew_risk"": false, ""rh_ge_90"": false}",rule_prior:hold_all:5,0.915295265197754,hold_all,previous_plan_prior:previous_shift_all:2,"{""base_final_score"": 0.09099680812408517, ""final_score"": 0.10299680812408507, ""prior_confidence_bonus"": 0.011999999999999997, ""projected_energy_proxy"": 0.5362697298328082, ""projected_low_reversal"": 0.0, ""projected_smoothness"": -0.036126972983280825, ""raw_energy_proxy"": 0.5362697298328082, ""raw_low_reversal"": 0.0, ""raw_smoothness"": -0.036126972983280825, ""rewrite_penalty"": 0.0, ""risk_static_hold_penalty"": 0.0, ""uncertainty_penalty"": 0.0}",1.018292073321839,previous_plan_prior,previous_shift_all,lower_score,489,0.10299680812408507
NORMAL_BALANCED,4.75,"{""any_risk"": false, ""dew_risk"": false, ""dry_or_high_vpd_risk"": false, ""dry_risk"": false, ""high_vpd"": false, ""humidity_or_dew_risk"": false, ""rh_ge_90"": false}",rule_prior:hold_all:5,0.9187128286361695,hold_all,previous_plan_prior:previous_shift_all:2,"{""base_final_score"": 0.08878963173677523, ""final_score"": 0.10078963173677524, ""prior_confidence_bonus"": 0.011999999999999997, ""projected_energy_proxy"": 0.5220298821727435, ""projected_low_reversal"": 0.0, ""projected_smoothness"": -0.034702988217274355, ""raw_energy_proxy"": 0.5220298821727435, ""raw_low_reversal"": 0.0, ""raw_smoothness"": -0.034702988217274355, ""rewrite_penalty"": 0.0, ""risk_static_hold_penalty"": 0.0, ""uncertainty_penalty"": 0.0}",1.0195024603729448,previous_plan_prior,previous_shift_all,lower_score,499,0.10078963173677524
NORMAL_BALANCED,22.25,"{""any_risk"": false, ""dew_risk"": false, ""dry_or_high_vpd_risk"": false, ""dry_risk"": false, ""high_vpd"": false, ""humidity_or_dew_risk"": false, ""rh_ge_90"": false}",rule_prior:hold_all:5,0.9178101162910463,hold_all,previous_plan_prior:previous_shift_all:2,"{""base_final_score"": 0.08871309182917064, ""final_score"": 0.10071309182917065, ""prior_confidence_bonus"": 0.011999999999999997, ""projected_energy_proxy"": 0.5215360763172309, ""projected_low_reversal"": 0.0, ""projected_smoothness"": -0.03465360763172309, ""raw_energy_proxy"": 0.5215360763172309, ""raw_low_reversal"": 0.0, ""raw_smoothness"": -0.03465360763172309, ""rewrite_penalty"": 0.0, ""risk_static_hold_penalty"": 0.0, ""uncertainty_penalty"": 0.0}",1.018523208120217,previous_plan_prior,previous_shift_all,lower_score,473,0.10071309182917065
NORMAL_BALANCED,0.5,"{""any_risk"": false, ""dew_risk"": false, ""dry_or_high_vpd_risk"": false, ""dry_risk"": false, ""high_vpd"": false, ""humidity_or_dew_risk"": false, ""rh_ge_90"": false}",rule_prior:hold_all:5,0.9241247873306275,hold_all,previous_plan_prior:previous_shift_all:2,"{""base_final_score"": 0.08716940841327103, ""final_score"": 0.09916940841327104, ""prior_confidence_bonus"": 0.011999999999999997, ""projected_energy_proxy"": 0.4994800542791684, ""projected_low_reversal"": 0.0, ""projected_smoothness"": -0.028281338761250163, ""raw_energy_proxy"": 0.4994800542791684, ""raw_low_reversal"": 0.0, ""raw_smoothness"": -0.028281338761250163, ""rewrite_penalty"": 0.0, ""risk_static_hold_penalty"": 0.0, ""uncertainty_penalty"": 0.0}",1.0232941957438986,previous_plan_prior,previous_shift_all,lower_score,482,0.09916940841327104
NORMAL_BALANCED,22.5,"{""any_risk"": false, ""dew_risk"": false, ""dry_or_high_vpd_risk"": false, ""dry_risk"": false, ""high_vpd"": false, ""humidity_or_dew_risk"": false, ""rh_ge_90"": false}",rule_prior:hold_all:5,0.9367180209159852,hold_all,previous_plan_prior:previous_shift_all:2,"{""base_final_score"": 0.07837673675889756, ""final_score"": 0.09037673675889757, ""prior_confidence_bonus"": 0.011999999999999997, ""projected_energy_proxy"": 0.44275314037998514, ""projected_low_reversal"": 0.0, ""projected_smoothness"": -0.022608647371331836, ""raw_energy_proxy"": 0.44275314037998514, ""raw_low_reversal"": 0.0, ""raw_smoothness"": -0.022608647371331836, ""rewrite_penalty"": 0.0, ""risk_static_hold_penalty"": 0.0, ""uncertainty_penalty"": 0.0}",1.0270947576748828,previous_plan_prior,previous_shift_all,lower_score,474,0.09037673675889757
NORMAL_BALANCED,0.0,"{""any_risk"": false, ""dew_risk"": false, ""dry_or_high_vpd_risk"": false, ""dry_risk"": false, ""high_vpd"": false, ""humidity_or_dew_risk"": false, ""rh_ge_90"": false}",rule_prior:hold_all:5,0.9435066442489625,hold_all,previous_plan_prior:previous_shift_all:2,"{""base_final_score"": 0.07277695915351312, ""final_score"": 0.08477695915351313, ""prior_confidence_bonus"": 0.011999999999999997, ""projected_energy_proxy"": 0.4187223171194394, ""projected_low_reversal"": 0.0, ""projected_smoothness"": -0.024372231711943915, ""raw_energy_proxy"": 0.4187223171194394, ""raw_low_reversal"": 0.0, ""raw_smoothness"": -0.024372231711943915, ""rewrite_penalty"": 0.0, ""risk_static_hold_penalty"": 0.0, ""uncertainty_penalty"": 0.0}",1.0282836034024756,previous_plan_prior,previous_shift_all,lower_score,480,0.08477695915351313
HUMIDITY_EXCESS_DISEASE_RISK,21.0,"{""any_risk"": true, ""dew_risk"": true, ""dry_or_high_vpd_risk"": false, ""dry_risk"": false, ""high_vpd"": false, ""humidity_or_dew_risk"": true, ""rh_ge_90"": true}",rule_prior:ventilation_ramp_limited:7,0.9823750008905321,ventilation_ramp_limited,previous_plan_prior:previous_shift_all:2,"{""base_final_score"": 0.0597083329589676, ""final_score"": 0.07170833295896761, ""prior_confidence_bonus"": 0.011999999999999997, ""projected_energy_proxy"": 0.23666666174928352, ""projected_low_reversal"": 0.0, ""projected_smoothness"": 0.027500001353579995, ""raw_energy_proxy"": 0.23666666174928352, ""raw_low_reversal"": 0.0, ""raw_smoothness"": 0.027500001353579995, ""rewrite_penalty"": 0.0, ""risk_static_hold_penalty"": 0.0, ""uncertainty_penalty"": 0.0}",1.0540833338494997,previous_plan_prior,previous_shift_all,lower_score,660,0.07170833295896761
HUMIDITY_EXCESS_DISEASE_RISK,21.25,"{""any_risk"": true, ""dew_risk"": false, ""dry_or_high_vpd_risk"": false, ""dry_risk"": false, ""high_vpd"": false, ""humidity_or_dew_risk"": true, ""rh_ge_90"": true}",rule_prior:ventilation_ramp_limited:7,0.9823750009411313,ventilation_ramp_limited,previous_plan_prior:previous_shift_all:2,"{""base_final_score"": 0.05970833290836841, ""final_score"": 0.07170833290836842, ""prior_confidence_bonus"": 0.011999999999999997, ""projected_energy_proxy"": 0.23666666174928352, ""projected_low_reversal"": 0.0, ""projected_smoothness"": 0.027500001241137273, ""raw_energy_proxy"": 0.23666666174928352, ""raw_low_reversal"": 0.0, ""raw_smoothness"": 0.027500001241137273, ""rewrite_penalty"": 0.0, ""risk_static_hold_penalty"": 0.0, ""uncertainty_penalty"": 0.0}",1.0540833338494997,previous_plan_prior,previous_shift_all,lower_score,661,0.07170833290836842
